,Time,Miliseconds,Battery,Light,Temperature,Humidity,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
0,0,0,5,510,23.98,39.27,46.42,100.91,none,none,none,none,none
1,0,3207,5,508,24.01,39.26,50.05,100.91,none,none,none,none,none
2,0,745,5,510,24.03,39.41,55.74,100.91,none,none,none,none,none
3,0,745,5,508,24.03,39.56,51.5,100.91,none,none,none,none,none
4,0,745,4,510,24.05,39.68,51.35,100.91,none,none,none,none,none
5,0,745,5,510,24.03,39.87,49.27,100.91,none,none,none,none,none
6,0,745,5,510,24.04,39.98,50.49,100.91,none,none,none,none,none
7,0,744,5,508,24.03,39.99,50.47,100.91,none,none,none,none,none
8,0,745,5,510,24.01,39.94,49.19,100.91,none,none,none,none,none
9,0,745,5,508,24.05,39.91,50.81,100.91,none,none,none,none,none
10,0,744,4,508,24.01,39.79,47.72,100.91,none,none,none,none,none
11,0,744,5,508,24.0,39.68,50.21,100.91,none,none,none,none,none
12,0,744,5,510,24.01,39.49,47.35,100.91,none,none,none,none,none
13,0,745,5,508,24.0,39.33,49.0,100.91,none,none,none,none,none
14,0,744,5,508,24.0,39.23,48.3,100.91,none,none,none,none,none
15,0,744,5,510,24.01,39.16,48.34,100.91,none,none,none,none,none
16,0,744,4,508,24.03,39.12,49.93,100.91,none,none,none,none,none
17,0,743,5,510,23.98,39.02,47.14,100.91,none,none,none,none,none
18,0,745,5,508,24.0,39.02,48.41,100.91,none,none,none,none,none
19,0,744,5,510,24.0,38.94,47.11,100.91,none,none,none,none,none
20,0,744,5,510,24.03,38.86,49.52,100.91,none,none,2,3,3
21,0,1379,5,510,23.98,38.83,49.43,100.9,none,none,2,3,3
22,0,744,5,510,24.0,38.89,49.87,100.91,none,none,2,3,3
23,0,744,5,510,24.0,38.89,47.53,100.91,none,none,2,3,3
24,0,744,5,508,24.0,38.91,49.74,100.9,none,none,2,3,3
25,0,744,5,508,24.03,38.91,46.85,100.91,none,none,2,3,3
26,0,744,5,508,24.01,38.96,49.97,100.91,none,none,2,3,3
27,0,745,5,508,24.03,38.95,48.13,100.91,none,none,2,3,3
28,0,744,5,507,24.0,38.97,49.52,100.91,none,none,2,3,3
29,0,744,5,508,24.01,39.0,46.09,100.91,none,none,2,3,3
30,0,744,5,508,24.0,39.04,50.04,100.91,none,none,2,3,3
31,0,744,5,508,24.01,39.07,49.58,100.91,none,none,2,3,3
32,0,745,5,508,24.04,39.04,48.12,100.91,none,none,2,3,3
33,0,744,5,508,24.04,39.04,50.19,100.91,none,none,2,3,3
34,0,744,5,508,24.03,39.04,47.47,100.91,none,none,2,3,3
